Date,SPY,QQQ,IWM,VEA,VWO,BND,TLT,IEF,TIP,LQD,EMB,GLD,GSG,VNQ
2010-12-13,97.5266342163086,48.180076599121094,64.4155044555664,24.46658706665039,33.2107048034668,56.63034439086914,67.33283233642578,73.57561492919922,77.8390884399414,69.82804107666016,59.48845291137695,136.0500030517578,33.06999969482422,32.417972564697266
2010-12-14,97.61275482177734,48.268802642822266,64.38217163085938,24.51983642578125,33.24556350708008,56.27174758911133,66.35342407226562,72.7989730834961,77.09587860107422,69.4017562866211,59.48845291137695,136.17999267578125,33.0099983215332,32.10009002685547
2010-12-15,97.16651153564453,48.05585861206055,64.18229675292969,24.193706512451172,32.75748825073242,56.09595489501953,65.48927307128906,72.5008773803711,77.33633422851562,68.9688949584961,59.0615234375,134.6999969482422,32.959999084472656,31.794208526611328
2010-12-16,97.7302474975586,48.428524017333984,64.7735366821289,24.293542861938477,32.94575119018555,56.22250747680664,65.94297790527344,72.93229675292969,77.67878723144531,69.30479431152344,58.651248931884766,133.80999755859375,32.869998931884766,31.848188400268555
2010-12-17,97.83489990234375,48.4712028503418,64.97342681884766,24.173742294311523,32.917842864990234,56.567115783691406,67.14558410644531,73.55986785888672,78.203369140625,69.9378662109375,58.756526947021484,134.1999969482422,33.0099983215332,32.11207580566406
2010-12-20,98.07106018066406,48.506752014160156,65.23160552978516,24.226978302001953,32.82023620605469,56.602272033691406,67.07360076904297,73.55204010009766,78.19610595703125,69.89263916015625,59.05600357055664,135.11000061035156,33.349998474121094,32.49594497680664
2010-12-21,98.69282531738281,48.800140380859375,65.95613098144531,24.400033950805664,33.24556350708008,56.66552734375,67.54164123535156,73.7089614868164,78.32728576660156,70.04121398925781,59.366512298583984,135.32000732421875,33.58000183105469,32.83781051635742
2010-12-22,98.9997787475586,48.79125213623047,65.9368896484375,24.479150772094727,33.37680435180664,56.602272033691406,67.05918884277344,73.50497436523438,78.26892852783203,69.98307037353516,59.460723876953125,135.0500030517578,33.779998779296875,33.089717864990234
2010-12-23,98.8581314086914,48.66678237915039,65.85321044921875,24.445049285888672,33.32715606689453,56.53898239135742,66.92234802246094,73.24613952636719,77.97752380371094,70.01535034179688,59.516204833984375,134.66000366210938,33.90999984741211,32.939781188964844
2010-12-27,98.89749908447266,48.69345474243164,66.05398559570312,24.417770385742188,33.263309478759766,56.696922302246094,67.52005767822266,73.52852630615234,78.14509582519531,70.15101623535156,59.49953842163086,135.02000427246094,33.84000015258789,33.34904479980469
2010-12-28,99.03914642333984,48.60456466674805,65.86994934082031,24.410945892333984,33.291683197021484,56.32856369018555,66.1976547241211,72.75613403320312,77.56292724609375,69.59197998046875,59.42161178588867,137.22000122070312,34.040000915527344,33.482460021972656
2010-12-29,99.10997009277344,48.71124267578125,66.01219940185547,24.629207611083984,33.696022033691406,56.66151428222656,67.31773376464844,73.5740966796875,78.06698608398438,70.1172866821289,59.32135009765625,137.7100067138672,33.95000076293945,33.54915237426758
2010-12-30,98.95256805419922,48.59566116333008,65.88668060302734,24.533721923828125,33.93723678588867,56.66854476928711,67.26714324951172,73.42467498779297,77.99388885498047,70.14972686767578,59.36591720581055,137.02999877929688,33.470001220703125,33.640113830566406
2010-12-31,98.9761962890625,48.417850494384766,65.45170593261719,24.65648651123047,34.157142639160156,56.85984802246094,68.01148986816406,73.79434204101562,78.53439331054688,70.32481384277344,59.62761688232422,138.72000122070312,34.099998474121094,33.57341384887695
2011-01-03,99.99940490722656,49.173545837402344,66.58939361572266,24.854284286499023,34.49055480957031,56.78902053833008,67.49837493896484,73.56624603271484,78.20571899414062,70.59722900390625,59.87821960449219,138.0,34.34000015258789,34.19794845581055
2011-01-04,99.9443130493164,49.13798904418945,65.60230255126953,24.779266357421875,34.625335693359375,56.79609680175781,67.57779693603516,73.73931884765625,78.40289306640625,70.68798828125,60.24573516845703,134.75,33.630001068115234,33.5430908203125
2011-01-05,100.46377563476562,49.55583953857422,66.3718490600586,24.642847061157227,34.497642517089844,56.54818344116211,66.08929443359375,72.94493103027344,78.10344696044922,70.16918182373047,59.900482177734375,134.3699951171875,34.040000915527344,33.664363861083984
2011-01-06,100.26700592041016,49.71586990356445,66.0623550415039,24.424589157104492,34.192604064941406,56.59775161743164,66.37834930419922,73.32247924804688,78.32991027832031,70.27293395996094,59.438255310058594,133.8300018310547,33.54999923706055,33.34904479980469
2011-01-07,100.07024383544922,49.67142105102539,65.68592834472656,24.34273910522461,33.873390197753906,56.81021499633789,66.7324447631836,73.81011199951172,78.57826232910156,70.62959289550781,59.56080627441406,133.5800018310547,33.349998474121094,33.36117935180664
2011-01-10,99.9443130493164,49.85812759399414,66.0623550415039,24.2745361328125,33.525787353515625,56.94482421875,67.09375,74.06175994873047,78.80467224121094,70.7528076171875,59.41044235229492,134.1199951171875,33.779998779296875,33.35512161254883
2011-01-11,100.29851531982422,49.92924499511719,66.33007049560547,24.438236236572266,33.901763916015625,56.831485748291016,66.71797943115234,73.77080535888672,78.83386993408203,70.72037506103516,59.571937561035156,134.91000366210938,34.29999923706055,33.28235626220703
2011-01-12,101.20365142822266,50.28486633300781,66.89891052246094,24.95659828186035,34.67499923706055,56.79609680175781,66.1976547241211,73.55845642089844,78.81198120117188,70.67501831054688,59.855899810791016,135.4600067138672,34.58000183105469,33.42182922363281
2011-01-13,101.0383529663086,50.30265808105469,66.87382507324219,25.05890464782715,34.28482437133789,56.973182678222656,66.79023742675781,74.05396270751953,79.05299377441406,70.97980499267578,59.97290802001953,134.0500030517578,34.349998474121094,33.53095245361328
2011-01-14,101.77034759521484,50.676055908203125,67.3757553100586,25.195316314697266,34.37704086303711,56.895259857177734,66.36383819580078,73.84942626953125,78.70970153808594,70.64261627197266,60.05085754394531,132.69000244140625,34.619998931884766,33.75530242919922
2011-01-18,101.9435043334961,50.818302154541016,67.42594146728516,25.359012603759766,34.369964599609375,56.838592529296875,66.05319213867188,73.66854095458984,78.72428894042969,70.60369873046875,59.939456939697266,133.42999267578125,34.52000045776367,34.046356201171875
2011-01-19,100.94390869140625,50.24040603637695,65.69425964355469,25.22942352294922,34.08620071411133,56.9094352722168,66.53011322021484,73.8573226928711,78.75350952148438,70.55178833007812,59.75015640258789,133.72000122070312,34.45000076293945,33.59765625
2011-01-20,100.81011199951172,49.884796142578125,65.00830078125,25.01116180419922,33.788246154785156,56.696922302246094,65.6123275756836,73.28312683105469,78.00851440429688,70.24697875976562,59.53852844238281,131.1999969482422,34.060001373291016,33.603729248046875
2011-01-21,101.0383529663086,49.50249099731445,64.57331848144531,25.1475772857666,33.454837799072266,56.81021499633789,66.13263702392578,73.52693939208984,78.15457153320312,70.35076141357422,59.477298736572266,131.02999877929688,34.279998779296875,33.62797546386719
2011-01-24,101.6129379272461,50.187076568603516,65.0501480102539,25.372650146484375,33.681846618652344,56.80318832397461,66.16157531738281,73.53484344482422,78.10344696044922,70.38321685791016,59.64433288574219,130.36000061035156,33.9900016784668,33.797752380371094
2011-01-25,101.66801452636719,50.25818634033203,65.15052795410156,25.359012603759766,33.483211517333984,56.951942443847656,66.79023742675781,73.90451049804688,78.41020202636719,70.73338317871094,59.59978103637695,130.10000610351562,33.5099983215332,34.19187927246094
2011-01-26,102.06156921386719,50.52492141723633,66.1878662109375,25.48178482055664,33.79534149169922,56.75359344482422,65.77859497070312,73.45616149902344,78.27875518798828,70.33781433105469,59.588645935058594,131.16000366210938,34.25,34.24644470214844
